text,sentiment
Aabunay nu a eriyoonaasha?,0
Aayee Aayee Waallollee. ,0
aayen xilqqi giidi maren tolkku ges giyogaadan hannin leppikko wontto woranawu xoqqollanawu guyye geenaagee qoncce,0
aayia yelu ooni oonara. nioka goobay,1
Aayiya yelu gaysi hara oorattabaakka naagaysi.,0
Aayiya yelu nena woraabi woraabi,1
Aayiya yelu xoona mattattoo Morkkiyawu ulo immoppa minna,0
aayiyaa yelu atuma asa.,1
Aayiyaa yelu kasekka hagaa malaa issippetetta koshshishshin attiis.,0
Aayiyaa yelu penggen qachchiyo sintta boorawu puullanchcha ne ,0
Aayiyaa yelu tumma,1
aayye ana wolayttoo wonttin qammin nebaw waayiya gita asa xayadasa,0
Aayyiya yelu Hage keehippe lo'iyaba ,1
aayyiyaa yelu inttena ,1
Abba Haata Duqay Wursenn,0
Abeeti wolayttoo ne issipetetteawu eqqayis yashshasa niyo noore gayis ta diyosan qassi cadda oyqqa yedoppa woray neegaa ,0
Abet lo es goppa quldura quliduraa shin xayadassa.,0
Abey wol gaammaa,0
Abi yide karrepe yanna xayyiko soddop sheshshak banna koshenna,0
abisi dometene?,0
Abooliya yooyankiya kariyan kaassiya Damote jaalaa naw,0
adisabana harasani de yageti abini sihane,0
Adusa bariya saruwara amotas,0
Adusa wodiya xossay woto,1
Adusaa bariyaa amottida ,1
ADUSSA BARIYAA DE ONA ,1
Adussa layitta amottida,1
Adussa layittaa immo nuu awantuyo,1
adussa laytaa amottassi,1
Adussa Laytanne Gida Duusa Amotas Anjetona ,1
adussa laytta immo,1
adussaa laytta amottaas,1
afalan ekkida yaada xaagga ,1
Aho dereka lambayika nu asape daruwa etape goetis,0
Ajjaajiya haasso,-1
Ajuutaa pooxidi eriyoogan Wolaytta kaciya xoqqu xoqqu ottanaw yelagay kasegappe daruwa beggotanaw besses.,0
Aka hode.,0
Akadda ayiffa na a gamoyi ,0
akitee ayfiteee teme,0
akka ayifa Odido Donani Essa mixxilisa,0
Akka ayiffa,1
akka Neenaara sinttawu.W TS.,1
alagako simada comma sooko simada mittaa,0
Alimaza kehippe Qaaraa Maccassa Ittayi Oho Bochoppo,1
Ali'oo Wolayttawu,0
Alitaye firiyaa biittaa majjore worabbi,0
Allagaa goyrido qaaratuwara paraa toggos,-1
amado damote gobe welayttenawu ,0
AMADO TIGHRE NENA YELES,-1
Amuwan Nagos Oddo Yecha Osanchaw Teme,1
ana nunaka shobakte. ,0
Ane akeekan tangos,0
Ane anin anxo wolyitawu be''ana,0
Ane baa xossi desi,1
Ane bonchettos ane boseetos,1
Ane dandayo sohuwan uban nu kalane tobeyako ubaka hayesetura wolakere hasayeyako kehe upayesenesha wolayeto,0
ane eziganaka aymala qofara yanako nagana,0
Ane Gegos ane dendos.,1
Ane gikki woyigay? Wonto eretana gay?,0
Ane ista naa'a giidi qoodite. Yelaga balbuqiyayi oone? Shakkidi issuwa so asa hara alaga otiyaayi oone? ,0
Ane leemisoy gelido asi ba qaalaa birshshettara xaafidi ba laggiyaa sudhdha oottidi beessiyay oone ?,0
Ane minnoosi.,1
Ane negadan wolayitatuwa tana tamarisa,0
ane nu nuna qoppoos maaddoos dichchoos. haray ba maado xallawu nu wulqqaa nu eraa bonqqooge gidana.,0
Ane qaaxxos nu  dichchos tamasggana miyyiyan eqqos,0
Ane saro sima ,0
Ane Ta qooriyan,0
Ane Teme nuusi geressa yeeda,0
Ane waatane sima hayqoy bochennaadan eta qosin aggiyaagashin qol''on qosidi ooratta haydaa bessanee ,0
Ane wolaytta pinttisos,0
Ane Xoonanawu Xoonettos hashetos,0
Ane xoosaba be anakka. Coo hanoosona maahiya goynerri mala kiyin.,0
Ane xxosi eress ,1
ane zoretos nunika wanane isiffe hasayos tahenato ,1
Anebaa qashetinka oyshay oysha hagape sinta dusa ABIY Kawota eriraa?,0
Ani gitatoosona ayssiyageeta giyo asata zorettisooskkaa?,0
Anijjetta wodala Ganjjiyaa Teme.WDM.,0
anjeta ililo eesay,1
Anjetite lo eta kehipe,1
Anjjeta kehipp luxisiya lemiso hasayaa,1
Anjjo Anjjo Laytta Ootto.,1
Anjjo nagoosi,1
Anne loyitada filgada oyichane nu asasine aysi de eya dabotay haki utishin,0
Anne Oditte Tumappe Lo'iko Oonatetta Ordiyaan Otoretta Beetiko Woggadan Mayadda Puullan Aleqiko Daradda Dalgadda Qonccadda Po'iko?,0
Anne tungan diyageeti waati siyanako odda tana barakata wolde makisuwa,0
appuuni saattiyaannee?,0
Apun satyane wontto?,0
Ara Nuna Ubbaaka Itaagaadan Gam'eto.,0
Araaka heeran wogettay ottenashin waanane ?,-1
Arakkaa aaraa teera giyaagaappeattin gidenna.,0
Arakkan wogeta radio wayises,-1
Arbapene ayimalopene giduwan xossi de esi,0
Asa ayifefe ashoo,1
Asa aypeppe atta ,1
Asanka asi des woldetsadiqa tamasgani awa aypiya malates ,1
asaw dabbotussi eta wossiyo ketta asawnne kumetta wolaitaw dandaya amottos,0
ASAWU BAA BITANEE YEENNAATAAN XISKKIIS GIIDA KK ZAAROPPO,0
asay qofes xossay pollees ne qofosa ubbaa godday gattoo ,0
Asayi bonchuwa imaana xaayiko qeeri na''adan yiilottiya asa,0
Asayi nagetite hahoteta coronape,0
Asayi qopesi xosayi qopa polesi,1
ASE XOSAY NE WASE HASHU SARO KIYASA ,1
ASEFA WODAJA PANGGATA SHAMMID YINPPISSIS GIYOGEE TUMEYYE WORE GIYOROOKA OYCHA,0
ashu birishetto ,0
Asi ashsha godi awudeka giddenna.,1
Asidesach Pullaniche wolayitta mine,0
Asiya ba kushiyo mawusu gees Gita Wolayttay. Banttaro eti ekkan coo,1
assa ayfeffe naggo ha laytti dumma.poluwa loytto.,1
Assi corrattiddi de'iiyo heera shiiqqoppitte,1
assi halo,0
Ataagakka xoossay loyttana,1
Atena awudekka ekkana ,0
atena issi gala,0
Atena kell,1
Atenna awdekka ,1
Atenna minna,1
Atiyooge pooko ,1
attenna shin.,0
Attotetta Oychchoos ,1
attuma na appeattin addaree giddenna. Attuma natta addarre giyaa wanna addare nenna.,0
attuma na appeattin addaree giddenna. Attuma natta addarre giyaa wanna addare nenna.,0
Atumaa Asa Xeeriya Ayyiya Yelu,1
atumaas yaallta,1
Atumasi laa gooba wolaitto nebayi odinikka wurennago. ,-1
Aw gelade a tooki pa'alaa qadaay oka gaakiide gada,-1
awa baychadi qa.,0
awa heeran de ii,0
Awaka bokona moridika de'ona bochoppite ,-1
Awani demanesha ha maxafiyo,0
AWASAN DIYA NU ASAA BOLLI ASATI QOHUWA GATTIYOGAA DOOMMIDOSONA Nu GIDDO ISSIPPETETTAY LEPPIYODE WOLAYTTA BOLLA UBBAY MINNES ,1
Awone xosso asha,1
AWU DANDAYETEES,1
Awudde gakkanuw awwasi yrddid danne tayishawu,0
awude domi teme ayibin eeranne gereriya asay awun xayes gadi,0
Awudeka atena nu baxe yeletayi yeletawu atto nu daligga manitiya oyisha teme ,-1
Awuga Yootidi Awuga Aganne,0
Ay hega xalle Teme ,0
ay malee saroo. daamoote goobee sarokkaa. ,-1
Ay nu bolli xengay ishawu?,0
Ay oggiyanka etti nuna maddokona siyida be ida bantta natta bantta macassa injjiya koyosona bantta bonchuwa koyosona. ,-1
Aya yelu nena kehipp galatoss wontto nagana,0
Ayba lo eti dosasi,1
ayba ootadaka lo''aasa,0
Ayba sooddo kanchche wolayttan daro sohotun sirettiya asay de'es,1
Aybaaka Ashabaakaa.,0
Aybaka hashu giisiiyaba gidena ,0
Aybaw biidona koyro?,-1
Aybe lazanttay ishawu,0
Aybee qasi ,0
aybee taw gelibeena?,0
Aybidi Xoso Saluwa Shaka Wodhiyakko Wolaitawu,0
Aybinne baawa XOOSI dees.,1
ayeebay gelenna asi denna shin.adussa woddiyaa sarottetara amottas,0
Ayeessi Baynnaa Sagaayyoy Naeessi Qesiyaa Menttees,0
Ayeneba obabaweka wode dese..,0
Ayi Aginani Domiyako Odetiyako Daro Lo o Gada Qoppayisi,0
Ayi Haniyako Kuyixaroy Baata Kiyi Beya Ne Tawu Baata Nu Ekidi Agana Dalgga Mantiya Agoko ,0
Ayi hegga xalle sammin maatta ushiyagetta biittayi za in oyissa tiyaggetta abbet abbet abbet,1
Ayia yeluu lo''ees,1
ayiba gadi teme wodiya nagoos ,0
Ayibbe ne mallay darroy yellettiyakko? Itti bochchoppo tu tuu dicca zawaa gakka adhdha ,-1
Ayiffiyaa doonnanne siiriyaa hera kushshiyaan Tiqqopitte bochchopitte,1
Ayifiya Kessada Oyicha,1
Ayikkoba eti metotanna,0
Ayikkoba Teme Xilluwan pirddiya Xoossay Saluwan de es ,1
Ayikkobba Xossayi Tumma Bagga.moorikkiyya Toorrayi xongigikkoka cadenna.xossayi entte miyiyan eqqoo.,1
Ayikoneba teme goddi gobay hano ubabawuka wode desi hagara attigena,1
Ayimale wogga wolaytawu,1
Ayineba tumayi ba galassa nages Teme ,1
Ayinee baa badamoy yelatanaa xoside shin,1
ayis hega otiyona?.,0
ayisi qachidona,0
Ayiya yellu Attuma Na gammoy,1
Ayiya yellu mazagana oyishane zaruwa makisuwsn erettes nebay gumma gumma,0
Ayiya yellu teme like gadasa ha gidon zigiretiyara tumesha ne erana w d m,-1
Ayiya yellu tuma ,1
Ayiya Yelu Karetaa kawuwa na'awu Biza Wolaytawu,1
Ayiya Yelu Nena Tame Itay Bochopo,1
ayiya yelu nu isha goba Kehi loasa,1
Ayiya Yelu Zoxasa,1
Ayiyaa neena yelu tamasgana. Tumu wogetta oosuwa oottasa,1
Ayiyaa yelu gale na'a hachi neni koyro,0
Aykkobaawa danddayna ubbabaykka wonttanaashin xumees wonikkaá¢,0
Aykoba .Tumma piriddiyaa Xossay ettara de ees ,1
Ayne ba tumawunne cuwawu kiyosay xayna ha'ikka xoossay nunara des ,1
ayne ba xooniyaa xoossara doos ha'ikka minittoos,1
Ayne baa takki .,1
Aynebaa womtana hanneessi,1
Aynebaa xoossai diishin tumay kiyana Wolaita asay ubbay issuwa gididi baaxiyan minnanawu koshshees.,1
Aynneba Xoossay Naagees ,1
Ayssi ayba hasayi gaanaw besses,0
Ayssi biyoonaa yiyaabaa ekkoogappe darenna gishshaw ayssi haniyaabay hanennee? Lo'oba naaganaw koshenna,-1
Ayssi giikko qoncciyan Odito gishshawu.,-1
Ayssi issippe gayttidi ahoo ciitaa medheeketi? issipettettani.,-1
Ayssi shenpidi uteketi?,1
Ayyiya yelu wolayittana xeeriya ,1
Ayzo dagi xossi ne Donna Hasayana,0
Ayzo Gamo nunika eso,0
Ayzoh tayenaw xossi dess,1
Azanttees keehippe xoossay eta shemppuwa maro so asawu gidiya danddaya imo.,1
Azanttees wattane layttay xumanne xumaa nattugaa dendoy yanawu de'es he wode ettas zere ,1
Ba chaanaaliyaan doomisha?,0
Ba giido qaala polennan agganawu xoossay asamala gidenna,1
ba ishshaa woriya qa'eela ,0
Ba qaala go ttanawu yeellatiya wolayttay de oppo. Ane hagaa issoy issuwassi gattos ,1
Ba qaxaraa gelenay asa ayfiya oyqqanaw bees gida . Nena asho asaso oshaa kesana gayda metuwa nuso ehoppa,-1
Baaxe atis gaada yaatin ne potelika ekada yiike nena ayiya yelasu,-1
Baaxe baaxiyan gayitto WDM,-1
Baaxiya kare wuxakkiyogaa aggidi soo boxooxana koshshes. Nu oyshasi xube gididay nusoo asaa.,-1
Bagay ba mixaw qashetees bagay mixa bayzees haaaka,-1
bagay wasin bagay co u giyoge ato. isoy wasin haray xoqomiyoge eqo wrs.,-1
Balchcha Tasammi bana yelaga giid xaafiyooge hassayettiis taw tumaa gaadasa.,0
balla malattassa koronappe medhayi naggo.,1
Banaw koshena do atuko gasoyka nu eshatune nu michotu suttan dere dorrena doridagetuko kiyabay kiyo ,-1
banta oonatettaa kadida kanatta agidi nu issippetetta mintidi baaxiyaa kuushaa gakana.,-1
Baree Aduqqo ,1
Barsida kushiya saxiyoga mala shin tumawune chhwawu kiyiyosay xayena gees wolaitay xonnoy nuggaa ha'ika,1
Baxe sulidi sintawu bes ,-1
bazokkuwan ba aasu Daroppe tuggatasu oonee ayyo bochchoppo niyaayeessa gii caayoopoo,-1
Be ibennabaninne markki baynnaban asa mootiyawurinne mooriyawuri kasoppe attin mootettyay kayso gidenna,-1
Be'alacoo hagadanate,0
Beanawu Nunikka Amotos Teme,1
Beeraa kanttas ,0
beerassi oyishayii liike oyisha ,0
beetto beetto Nugishataara gatada be'a Po o giidiichaappe Atiin Bro,1
Be'itte xoossay nunara de'es ,1
Be'iyako gada amotishin besadasa xosi imo temu ,1
Benikka ha'ikka sinttawkka wolaytti wolaqqaama ,1
Biittaan Moogetida kattaay Mokkanaawu Ba Huuphphiyaan De iyaa Biitaa Laaliiyoogaadaan,1
Biittay kocan denddo ,0
BIRONA BAXE NUNIKA ETA MIYAN DOSI WOZITTO WOBILOYI KAWUYANA WOLAYITI DARANA,-1
Birshetagetuga hashu gida atagetusika lo'o wontay yanaton wosos ,1
Bitta gaxaa gakanaw latite lo'os.hayyaninta eta miyyiyan eeqqoos ,-1
Bittan palabay kiyicho hooo.. heganikka minna eshaw godi neyo woliqqa giddo ,1
Biyaagoosho tanoo ,0
Biza qofa hagee ,0
Boggi miidi kalli simmidi deriya cimmiya eyatussi odos,1
Bolaga Xayisayicha. Harata gin Bochopa Gidoshin Daga Bochopa.,-1
Bolan nu deriya hemiya asa bolan koyro osuwa domana koshes,-1
Bonchchettida Dottoriyantta Shemppuwa Saluwan Maaro.,1
Bonchcho dottoriyaa camma zabddiyosa maxaafaa,1
Bonchcho man iyaawu aatto ,1
Bonchettida Dere w Ane Issippe Gididi Nu Biittiyo Dichoos ,1
Bonchettida Tamazgana cengurssa dumma giigisuwa ne Telegram citan yeddarkii,0
Bonchettidanne Dosettida Woddala Ganjeetoo Wolaitta Gamotto ,0
Boncho dottoretettay imettanaw koshshiya tumu wolayttuma sintta xeera nu Dagatoy,-1
Boolimmidi betto.,-1
Booraa Mirgodan Buladda Xengadda Xeekammo Dangarssa Zaledan Daro Wolqqa Minjada Minotto Wolaytto ,-1
Boosa Borton Malatees,0
Borku bocin bocana xayin suli attena WRS,-1
Borku Bocinika sulana Borku bocenani ixikoka sulana,-1
Boxoxxoada qunxissadaa Wdm.oycha ezgana erooo,0
Buche kareppe biraa demmanawu wolaytta taagayetu sunttaa mooriiddi diyogaa gakkaida,-1
buleeraa gosseera monqoo karen kaffaffa ayoo gida.,-1
Bunge yeta nagyis gela o gexe huu huu giyga,0
Buze nepe hayiqidika dares buza gakanawu koyiko tuma hasaya ishi buze lerasu tesedo le ageru yemitagel newu ta xalayi beto gopa,0
Cammiya xuu'aa Ganxxanawu giigos ,-1
Camo baxe Teme Xiiskofasho ,-1
Cariya yedhdhin shodhdhiyawu xeessaa duuttiyay Aybee?,-1
Carkkoy carkkiyoosa qaxxopite Tumay deiyoosa yiggi xellite Ashkaratetta gidana giite Qaacuwadan cincite eyyopite,-1
Cegatetta daroy occuwa gaza besessi gida.,-1
cenggurssara lo'iyago,0
Chainati Alamiya mulliya Kushiya Meccisidosona Ha Agunttasi,0
Chu cha mogidi nagana,-1
Cimay puga danddayenna guutta wodiyassa ayzoh,-1
cimetoppite mishan,1
Cincidi tangana,1
Co carkuwan kiyi kiyi wassido gishshaw ya ha wordduwan wabbaqanaw koshshenna,-1
Coo hanosona ubayika la'a kiyana nu giddon de'iya wozana sholati shodetana,-1
Coronaba loyitta oyicha xossi imo,1
Coronafe nago entena,1
Coronappe Naagettos Qoffa Pulltoyi,1
Cuucha Mitana tayenaw,0
Cuucha mogidi naagos,0
cuuchchaappe paraa garxxees,-1
cuwawune tumayine kiyosa xayena xoonay nuga ,1
Daaagi wolaita taarikke xugi mirgges wrs,-1
daaliis gaada neenikka giigissa,-1
Daamota xoqqa deriyara dummeee bolooso ajjoraa sossuwaara puuleee ,-1
Daannaw intte booray yelibeenna ta miizziya yelaasu shin simi asi be'idi pirddin ekkekketii. ,0
Daaro sugetaay daro boonuchuwaas gaattees minite xosaa inetenar gido.,1
dagato miyiyan xosi eqo.,-1
Dagatoo lawolaytta naa moce yelagawu yelada haarada dagatta ha ubbappekka wolaitta God be with you,-1
Dagatoy deryara baaxetisipe atini ayimooride? Eyu qassi nabe gidi asi ubi bonchiyoge gubuwa waati mizide? ,-1
